scope,series_type,label,adds,removes,net_apps,total_moves,sample_apps
all-games,raw-tag,Cartoon,11,14,-3,25,"Bust Evolution: Bunnygirl VIP Paizuri！, Squeakross: Home Squeak Home, Dodge-imals"
all-games,raw-tag,Gore,11,14,-3,25,"CardForge, Fear Faith, Nested Lands"
all-games,raw-tag,Lore-Rich,15,9,6,24,"Before the Silence Claims: In Absentia, Sanechek: Lost Coins, The Floor Above"
all-games,raw-tag,Surreal,15,9,6,24,"Chronos Trap in Time, Xenonauts 2, Consumables"
all-games,raw-tag,Dungeon Crawler,13,11,2,24,"Eternal Hunger, 封魔剑魂, 100FRIENDS"
all-games,raw-tag,Futuristic,13,11,2,24,"Telluria: Forebodings, DODORI, Rogue Drone Hunter"
all-games,raw-tag,Nudity,13,11,2,24,"TEKKEN 8, The Witch's Disciples, 潔姊不要停"
all-games,raw-tag,Survival Horror,11,13,-2,24,"Before the Silence Claims: In Absentia, Nested Lands, Subliminal"
all-games,raw-tag,Hand-drawn,12,12,0,24,"OddFauna : Secret of the Terrabeast, The Posthumous Investigation, Rogue Drone Hunter"
all-games,raw-tag,Base Building,16,7,9,23,"Global City, Prophet Margin, 矮人炮弹 Dwarven Cannonball"
all-games,raw-tag,Score Attack,13,10,3,23,"FZ: Formation Z, Underwater Duo, Zigdig"
all-games,raw-tag,Life Sim,11,12,-1,23,"Nested Lands, Sanechek: Lost Coins, Terrafactory: Idle Planet"
all-games,raw-tag,Loot,14,8,6,22,"Explodey Towers, Power Of The Horde, Crazy odyssey"
all-games,raw-tag,Old School,14,8,6,22,"Clockwillows™ Voy Quest, FZ: Formation Z, Power Of The Horde"
all-games,raw-tag,Psychological,13,9,4,22,"Pigeon: A Love Story, アニマロイドガール, Abyss Chamber"
all-games,raw-tag,Point & Click,12,10,2,22,"Sanechek: Lost Coins, The Posthumous Investigation, Slots & Diapers"
all-games,raw-tag,Party Game,15,6,9,21,"Chaos Budz, This Is Golf, Dodge-imals"
all-games,raw-tag,Platformer,14,7,7,21,"Biped 2, Sanechek: Lost Coins, Chaos Budz"
all-games,raw-tag,Choose Your Own Adventure,9,12,-3,21,"Drunkslop: Pub crawl COOP, Sanechek: Lost Coins, Come to my party!"
all-games,raw-tag,1990's,10,11,-1,21,"Culdcept The First Saturn Tribute, Fear Faith, 100FRIENDS"
all-games,raw-tag,NSFW,18,2,16,20,"Pretty Girl Puzzle · Summer Phantom, AIKO: AI Girlfriend 3D Life Sim, The Ghost’s Intimate Cure"
all-games,raw-tag,Job Simulator,17,3,14,20,"Kinny and the Cosmic Cauldron, Extreme Forklifting 3, 86'd"
all-games,raw-tag,Replay Value,14,6,8,20,"Zigdig, Joker Madness 🃏, Shape of Dreams"
all-games,raw-tag,Anime,9,11,-2,20,"サンリオキャラクターズ スマッシュフェスタ！, Come to my party!, DODORI"
all-games,raw-tag,Economy,9,11,-2,20,"Canter Cove, Idle AI Factory, Market Moe"
all-games,raw-tag,Fast-Paced,11,9,2,20,"Zigdig, Shape of Dreams, Indoor Baseball"
all-games,raw-tag,Dark Humor,10,10,0,20,"One More 6ix, Xenonauts 2, Blank Slate"
all-games,raw-tag,FPS,8,11,-3,19,"Car Rental Simulator: Prologue - Early Days, Cheat Line, Scientific project: Optic"
all-games,raw-tag,Isometric,9,10,-1,19,"Culdcept The First Saturn Tribute, Malhaar, Shadowstalk"
all-games,raw-tag,Demons,6,12,-6,18,"封魔剑魂, Indignum, Lands of Fury"
all-games,raw-tag,Text-Based,11,7,4,18,"Love vs Lust: The story of a Gigolo, The Vault, Under Protocol"
all-games,raw-tag,Thriller,11,7,4,18,"Before the Silence Claims: In Absentia, The Floor Above, Under Protocol"
all-games,raw-tag,2D Platformer,8,10,-2,18,"Eternal Hunger, FZ: Formation Z, BROKEN SOUL : Boss Rush"
all-games,raw-tag,Collectathon,10,8,2,18,"OddFauna : Secret of the Terrabeast, With Me: Aquatic Time, Rotminers"
all-games,raw-tag,Shooter,8,10,-2,18,"Hyperlane Highway, KeepUp Survival, Fright Train"
all-games,raw-tag,Turn-Based Combat,10,8,2,18,"Eternal Hunger, 13 柱庭 Cabal 13, The Bed Above My Head"
all-games,raw-tag,Cyberpunk,13,4,9,17,"Fall in Flowers - フォール イン フラワーズ, Game Settings, 驱入虚空"
all-games,raw-tag,Idler,12,5,7,17,"Crazy odyssey, CropChampion, Limitless Survivors"
all-games,raw-tag,Logic,5,12,-7,17,"The Noble Quran, The Posthumous Investigation, Joker Madness 🃏"
all-games,raw-tag,Romance,12,5,7,17,"Ovidius (Blood for Love), Xenonauts 2, Mermaids are Seafood"
all-games,raw-tag,Space,5,12,-7,17,"Zigdig, Redline JDM Drift, Omen"
all-games,raw-tag,Investigation,11,6,5,17,"Subliminal, Case File: Archived 3:12AM, Scientific project: Optic"
all-games,raw-tag,Narration,11,6,5,17,"Bootstrap, Sanechek: Lost Coins, The Worlds of Narayana VR"
all-games,raw-tag,Post-apocalyptic,10,7,3,17,"Xenonauts 2, A Toast for the End Times, UP TO THE SKY"
all-games,raw-tag,Auto Battler,9,8,1,17,"Explodey Towers, Hydra TD, Joker Madness 🃏"
all-games,raw-tag,Precision Platformer,9,8,1,17,"4Wheel Challenge, Friendly Steps, Bunny Guys!"
all-games,raw-tag,Walking Simulator,8,9,-1,17,"Before the Silence Claims: In Absentia, The Floor Above, Island of Giant Trees"
all-games,raw-tag,Conversation,11,5,6,16,"Sanechek: Lost Coins, Jokerina: Lust Card, Tomorrow's Love Puzzle"
all-games,raw-tag,Real Time Tactics,5,11,-6,16,"Divine Orbit, Tank Havoc, 矮人炮弹 Dwarven Cannonball"
all-games,raw-tag,War,9,7,2,16,"Power Of The Horde, Riftborne, SIRENS"
all-games,raw-tag,Shoot 'Em Up,4,11,-7,15,"Divine Orbit, 胶囊军团, 100FRIENDS"
all-games,raw-tag,Dating Sim,10,5,5,15,"Pretty Girl Puzzle · Summer Phantom, Jokerina: Lust Card, Come to my party!"
all-games,raw-tag,Great Soundtrack,10,5,5,15,"Before the Silence Claims: In Absentia, Arcadia Cafe, Beats Of Fury"
all-games,raw-tag,Perma Death,10,5,5,15,"Eternal Hunger, Rotminers, Absorber: Absorb Adapt Survive"
all-games,raw-tag,Hidden Object,6,9,-3,15,"The Floor Above, Cozy Cleaner, Miner Open Chests"
all-games,raw-tag,Stealth,9,6,3,15,"Madnessarum, Helluva Heist, HUSHED"
all-games,raw-tag,Visual Novel,9,6,3,15,"Pretty Girl Puzzle · Summer Phantom, AIKO: AI Girlfriend 3D Life Sim, The Worlds of Narayana VR"
all-games,raw-tag,Abstract,8,7,1,15,"Joker Madness 🃏, Warnet, Pillars of Sorrow"
all-games,raw-tag,Local Co-Op,8,7,1,15,"Underwater Duo, NBA 2K26, ONE PIECE Bounty Rush"
all-games,raw-tag,Massively Multiplayer,7,8,-1,15,"封魔剑魂, Fortune Avenue, Global City"
all-games,raw-tag,Supernatural,9,5,4,14,"The Floor Above, The Posthumous Investigation, The Worlds of Narayana VR"
all-games,raw-tag,2.5D,8,6,2,14,"FZ: Formation Z, Pop!chinko, Ink Inside"
all-games,raw-tag,Sports,6,8,-2,14,"DODORI, Redline JDM Drift, Row Divers"
all-games,raw-tag,VR,8,6,2,14,"Subliminal, The Worlds of Narayana VR, Attack on Titan 2 - A.O.T.2"
all-games,raw-tag,Side Scroller,7,7,0,14,"Fallen Tear: The Ascension, FZ: Formation Z, Little Fires"
all-games,raw-tag,Time Management,7,7,0,14,"With Me: Aquatic Time, What'Sub, Idle AI Factory"
all-games,raw-tag,Zombies,7,7,0,14,"UP TO THE SKY, KeepUp Survival, Fading Faith"
all-games,raw-tag,Deckbuilding,11,2,9,13,"七神器, Divide TCG, Pop!chinko"
all-games,raw-tag,Mature,11,2,9,13,"My Horny Roomies, Ovidius (Blood for Love), Pretty Girl Puzzle · Summer Phantom"
all-games,raw-tag,Automation,9,4,5,13,"Tower Networking Inc., Divine Orbit, Arcaneering: Beyond Automation"
all-games,raw-tag,Dystopian,4,9,-5,13,"Mad Metal, アニマロイドガール, Cheat Line"
all-games,raw-tag,Quick-Time Events,2,10,-8,12,"Ovidius (Blood for Love), Blind Descent, The Beast Inside"
all-games,raw-tag,Arena Shooter,9,3,6,12,"Dodge-imals, Mech Survivor Elite, Torch of Shadows"
all-games,raw-tag,Racing,3,9,-6,12,"DisGo, Animal Falling, Bunny Guys!"
all-games,raw-tag,Tactical RPG,9,3,6,12,"Xenonauts 2, The Specimen, Battle Brewers"
all-games,raw-tag,Grid-Based Movement,8,4,4,12,"BROKEN SOUL : Boss Rush, The Bed Above My Head, Project - Labyrinth"
all-games,raw-tag,Otome,4,8,-4,12,"Darker: Chapter 1, Sanechek: Lost Coins, Deathwish Bloom"
all-games,raw-tag,Shop Keeper,8,4,4,12,"POJANGMACHA : Korean Street Food Management Simulator, Rooftop Garden, Blank Slate"
all-games,raw-tag,Short,8,4,4,12,"One More 6ix, Raider Kid and the Ruby Chest, Tiny: The Last Wayfinder"
all-games,raw-tag,Roguelike Deckbuilder,7,5,2,12,"ROGOLF, Black Jacket, Pop!chinko"
all-games,raw-tag,Level Editor,6,6,0,12,"The Secret Story, 戚继光 Qi Jiguang: Art of War, Aimlabs"
all-games,raw-tag,Bullet Time,8,3,5,11,"Last Dawn: Helios, Master of Chaos, Zombie Self-Cultivation"
all-games,raw-tag,Top-Down Shooter,4,7,-3,11,"Zigdig, 100FRIENDS, Lands of Fury"
all-games,raw-tag,Twin Stick Shooter,7,4,3,11,"IRON SHADOW : Survival Protocol, Rogue Drone Hunter, Tank Havoc"
all-games,raw-tag,Education,5,6,-1,11,"Chess Kingdom, With Me: Aquatic Time, MoonNight Shift"
all-games,raw-tag,Historical,5,6,-1,11,"The Posthumous Investigation, Tokatonton: One-Armed Blacksmith, 长干里酒吧"
all-games,raw-tag,Party-Based RPG,5,6,-1,11,"North Hunt, 100FRIENDS, Lootbane"
all-games,raw-tag,Team-Based,6,5,1,11,"Dodge-imals, Tank Havoc, What'Sub"
all-games,raw-tag,Music,9,1,8,10,"With Me: Aquatic Time, Rizuhuritan! Rhythmic Flip (Re)Turn, Dewdrop"
all-games,raw-tag,Creature Collector,8,2,6,10,"Nested Lands, UP TO THE SKY, Horse Runner DX"
all-games,raw-tag,Destruction,2,8,-6,10,"Zigdig, Gobocore: Goblin Rescue Squad , Streets of Miami VR"
all-games,raw-tag,Narrative,8,2,6,10,"Ovidius (Blood for Love), Love vs Lust: The story of a Gigolo, Come to my party!"
all-games,raw-tag,Aliens,3,7,-4,10,"Zigdig, Stamperor! The Jester's Decree, The Specimen"
all-games,raw-tag,Turn-Based,7,3,4,10,"Xenonauts 2, Dread Admiral, Black Jacket"
all-games,raw-tag,Cooking,6,4,2,10,"POJANGMACHA : Korean Street Food Management Simulator, AIKO: AI Girlfriend 3D Life Sim, Kinny and the Cosmic Cauldron"
all-games,raw-tag,Nonlinear,4,6,-2,10,"Xenonauts 2, The Vault, Arcadia Cafe"
all-games,raw-tag,Third-Person Shooter,6,4,2,10,"胶囊军团, Master of Chaos, Streets of Miami VR"
all-games,raw-tag,Trading,4,6,-2,10,"Double Dealers, Fantasy Ore Shop, Rooftop Garden"
all-games,raw-tag,Co-op Campaign,5,5,0,10,"FiresOut!, Dark Age Dinos, Hello World"
all-games,raw-tag,Comic Book,5,5,0,10,"Xenonauts 2, DODORI, Master of Chaos"
all-games,raw-tag,Tabletop,5,5,0,10,"Double Dealers, 卜卦 / Divination, Snooker Billiard"
all-games,raw-tag,Card Game,8,1,7,9,"Frostrain 2, Fortune Avenue, Project - Labyrinth"
all-games,raw-tag,Wholesome,7,2,5,9,"With Me: Aquatic Time, Cozy Cleaner, Tiny Ducks: Desktop Bath"
all-games,raw-tag,2D Fighter,3,6,-3,9,"封魔剑魂, BROKEN SOUL : Boss Rush, Gladiatory"
all-games,raw-tag,Military,3,6,-3,9,"胶囊军团, DODORI, Quaxum Color Mayhem"
all-games,raw-tag,MMORPG,6,3,3,9,"polity, Crazy odyssey, MMORPG Tycoon 2"
all-games,raw-tag,Tower Defense,6,3,3,9,"矮人炮弹 Dwarven Cannonball, Warnet, END US"
all-games,raw-tag,City Builder,4,5,-1,9,"Nested Lands, Cozy Cleaner, Copacetic"
all-games,raw-tag,Noir,4,5,-1,9,"Black Jacket, アニマロイドガール, Judge SIM"
all-games,raw-tag,Parkour,5,4,1,9,"Animal Falling, Chaos Budz, Good Luck"
all-games,raw-tag,Political,5,4,1,9,"Under Protocol, Life is Strange: Reunion, Hope in the City"
all-games,raw-tag,Robots,5,4,1,9,"DIESELDOME: Oil & Blood, Fall in Flowers - フォール イン フラワーズ, Zap Blastum"
all-games,raw-tag,Vehicular Combat,4,5,-1,9,"World of Warships, Harpoon Arena, Extreme Forklifting 3"
all-games,raw-tag,Wargame,4,5,-1,9,"Power Of The Horde, Warnet, Virtualord, The Virtual Conqueror"
all-games,raw-tag,Driving,7,1,6,8,"Tank Havoc, Friendly Steps, SIRENS"
all-games,raw-tag,Mythology,2,6,-4,8,"BROKEN SOUL : Boss Rush, Anant Express, UP TO THE SKY"
all-games,raw-tag,Agriculture,3,5,-2,8,"Chop Chains, Prophet Margin, Souls of the Dead"
all-games,raw-tag,Board Game,3,5,-2,8,"Chess Kingdom, 矮人炮弹 Dwarven Cannonball, Cartapli : Fold Quest"
all-games,raw-tag,Capitalism,3,5,-2,8,"Tokatonton: One-Armed Blacksmith, Market Moe, Streets of Miami VR"
all-games,raw-tag,Immersive,5,3,2,8,"With Me: Aquatic Time, Scenic, Little Houses of Bloomwood"
all-games,raw-tag,Puzzle Platformer,5,3,2,8,"Dev_Null’s Tower, Scientific project: Optic, Arenion"
all-games,raw-tag,Tutorial,3,5,-2,8,"Chop Chains, The Worlds of Narayana VR, My Pet Hooligan"
all-games,raw-tag,Cats,4,4,0,8,"With Me: Aquatic Time, Frontier Ferris For Adventurers, Puzzling Places - 3D Jigsaw Sim"
all-games,raw-tag,Political Sim,4,4,0,8,"Judge SIM, Crown Of Hispania, Second Chance at a Billion"
all-games,raw-tag,Soundtrack,4,4,0,8,"Stamperor! The Jester's Decree, 成为皇帝！我的万亿美女星球帝国, PomoTrain: Rabbit Town"
all-games,raw-tag,Competitive,6,1,5,7,"Dark Roll 2, Project X: Light Years, Drag Racing 3D: Streets 2"
all-games,raw-tag,Memes,6,1,5,7,"Joker Madness 🃏, KunKunNest, NeNeKoNeKo"
all-games,raw-tag,1980s,5,2,3,7,"Streets of Miami VR, An Odd Walk: Shinjuku Alley, BROTANK"
all-games,raw-tag,Card Battler,5,2,3,7,"Abyss Deck, STAB!, THORNSPELL"
all-games,raw-tag,Crime,5,2,3,7,"The Posthumous Investigation, Veils of the Past, Hope in the City"
