dimension_type,series_type,label,label_key,group_label,adds,removes,window_net,total_moves,early_avg_net,late_avg_net,momentum_delta,sample_apps
tag,raw-tag,Capitalism,capitalism,Other,3,5,-2,8,-0.1250,-0.1250,0.0000,"Tokatonton: One-Armed Blacksmith, Market Moe, Streets of Miami VR"
tag,raw-tag,Card Battler,card battler,Other,5,2,3,7,0.1250,0.0000,-0.1250,"Abyss Deck, STAB!, THORNSPELL"
tag,raw-tag,Card Game,card game,Other,8,1,7,9,0.1250,0.2500,0.1250,"Frostrain 2, Fortune Avenue, Project - Labyrinth"
tag,raw-tag,Cartoon,cartoon,Other,11,14,-3,25,-0.1250,0.1250,0.2500,"Bust Evolution: Bunnygirl VIP Paizuri！, Squeakross: Home Squeak Home, Dodge-imals"
tag,raw-tag,Cartoony,cartoony,Other,19,15,4,34,0.2500,-0.2500,-0.5000,"Black Hole Fishing, Pretty Girl Puzzle · Summer Phantom, Xenonauts 2"
tag,raw-tag,Casual,casual,Indie & Casual,60,55,5,115,0.6250,0.2500,-0.3750,"Biped 2, Chrono Vanguard: Primal Survival - Dinosaur, Explodey Towers"
tag,raw-tag,Cats,cats,Other,4,4,0,8,0.3750,-0.1250,-0.5000,"With Me: Aquatic Time, Frontier Ferris For Adventurers, Puzzling Places - 3D Jigsaw Sim"
tag,raw-tag,Character Action Game,character action game,Other,0,2,-2,2,0.0000,0.0000,0.0000,"ワンコワンコ大作戦, Dogwood"
tag,raw-tag,Character Customization,character customization,RPG & Fantasy,29,15,14,44,0.0000,0.2500,0.2500,"Grave Seasons, Power Of The Horde, Quack Hunters"
tag,raw-tag,Chess,chess,Other,1,0,1,1,0.0000,0.0000,0.0000,ChessBoyChess
tag,raw-tag,Choices Matter,choices matter,Adventure & Story,36,30,6,66,0.6250,-0.2500,-0.8750,"Don't Mind the Robots, Purgatory Survivors, Silent Orbits"
tag,raw-tag,Choose Your Own Adventure,choose your own adventure,Other,9,12,-3,21,0.1250,0.1250,0.0000,"Drunkslop: Pub crawl COOP, Sanechek: Lost Coins, Come to my party!"
tag,raw-tag,Cinematic,cinematic,Other,16,11,5,27,0.1250,0.1250,0.0000,"Before the Silence Claims: In Absentia, Love vs Lust: The story of a Gigolo, Tomorrow's Love Puzzle"
tag,raw-tag,City Builder,city builder,Other,4,5,-1,9,0.0000,0.0000,0.0000,"Nested Lands, Cozy Cleaner, Copacetic"
tag,raw-tag,Class-Based,class-based,Other,1,3,-2,4,0.0000,-0.1250,-0.1250,"Tank Havoc, Demon Hunters, Granblue Fantasy"
tag,raw-tag,Classic,classic,Other,2,1,1,3,0.1250,0.0000,-0.1250,"Mystery at Morgoth, The Curse of Feldar Vale, Shakes and Fidget"
tag,raw-tag,Clicker,clicker,Other,18,12,6,30,0.3750,-0.5000,-0.8750,"Pretty Girl Puzzle · Summer Phantom, With Me: Aquatic Time, Rooftop Garden"
